User ID,Violative,Frequency,Timestamp (minutes),Previous Violations,Severity,Action
1,1,3,42,2,High,Restrict
2,0,2,46,1,No,Allow
3,1,3,23,3,Critical,Ban
4,1,3,28,4,Critical,Ban
5,0,2,58,1,No,Allow
6,1,1,53,5,High,Restrict
7,1,2,31,4,Critical,Ban
8,1,3,22,1,High,Warn
9,0,1,25,6,Low,Warn
10,0,1,37,0,No,Allow
11,0,1,38,4,Low,Allow
12,1,4,19,3,Critical,Ban
13,0,2,13,4,Low,Allow
14,1,3,35,5,Critical,Ban
15,0,1,50,4,Medium,Restrict
16,0,1,17,4,Medium,Allow
17,0,1,30,5,Medium,Warn
18,0,1,18,4,Medium,Restrict
19,1,4,22,5,Critical,Restrict
20,0,2,41,2,Low,Allow
21,1,2,24,1,High,Warn
22,0,1,23,1,No,Allow
23,1,2,60,4,High,Restrict
24,1,4,18,3,Critical,Ban
25,1,2,19,0,Medium,Warn
26,0,1,57,1,No,Allow
27,0,1,38,6,Medium,Restrict
28,0,1,12,5,Medium,Warn
29,0,2,31,5,Low,Allow
30,1,2,38,1,Medium,Warn
31,1,4,22,0,High,Restrict
32,1,3,37,2,High,Ban
33,0,1,43,5,Medium,Warn
34,0,1,22,3,Low,Allow
35,0,1,51,5,Low,Allow
36,0,1,33,3,Low,Allow
37,0,2,59,3,Low,Warn
38,0,2,14,4,Low,Allow
39,0,1,26,6,Low,Allow
40,1,1,46,3,High,Restrict
41,0,1,55,4,Medium,Restrict
42,1,2,21,6,Critical,Ban
43,1,2,59,2,Medium,Warn
44,0,1,19,5,Low,Allow
45,1,3,31,3,Critical,Ban
46,1,2,26,6,Critical,Restrict
47,0,1,31,3,Low,Allow
48,0,1,56,4,Low,Allow
49,1,1,47,2,Medium,Allow
50,0,1,50,4,Low,Allow
51,0,1,22,2,Low,Warn
52,0,1,58,4,Low,Allow
53,1,2,32,5,Critical,Ban
54,1,2,43,3,High,Restrict
55,1,4,45,3,Critical,Restrict
56,1,4,43,2,Critical,Ban
57,0,2,40,5,Low,Allow
58,0,2,34,4,Low,Allow
59,0,1,43,3,Medium,Warn
60,0,2,56,0,No,Allow
61,1,2,29,0,Medium,Warn
62,0,1,36,0,No,Allow
63,0,2,19,5,Low,Allow
64,1,1,28,5,Critical,Ban
65,0,2,49,0,No,Allow
66,0,1,42,0,No,Warn
67,0,2,20,5,Low,Allow
68,0,1,37,3,Low,Allow
69,0,2,51,2,Low,Allow
70,0,1,16,4,Low,Warn
71,0,1,13,1,No,Allow
72,0,2,30,1,No,Allow
73,1,3,43,2,High,Warn
74,0,2,25,6,Medium,Warn
75,0,1,51,5,Low,Allow
76,0,1,53,1,No,Allow
77,0,2,37,3,Low,Allow
78,1,1,29,6,Critical,Restrict
79,0,1,12,6,Low,Warn
80,1,3,51,5,Critical,Ban
81,1,4,55,0,High,Restrict
82,0,1,32,1,No,Allow
83,1,1,36,1,Medium,Warn
84,0,2,48,1,No,Allow
85,0,2,45,1,No,Allow
86,0,2,16,2,Low,Allow
87,1,2,44,3,High,Restrict
88,0,2,57,2,Low,Allow
89,0,2,48,2,Low,Allow
90,0,2,34,1,No,Allow
91,0,2,36,1,No,Allow
92,1,4,23,6,Critical,Ban
93,0,1,43,4,Low,Allow
94,0,1,22,1,No,Allow
95,0,2,27,5,Low,Restrict
96,0,2,23,5,Low,Allow
97,0,2,27,6,Low,Allow
98,0,1,28,1,No,Allow
99,0,2,14,4,Low,Allow
100,1,1,46,6,Critical,Ban
101,1,1,32,5,Critical,Ban
102,1,4,58,1,High,Ban
103,0,1,19,6,Low,Warn
104,1,1,44,2,Medium,Restrict
105,1,4,19,3,Critical,Restrict
106,1,3,37,3,Critical,Ban
107,0,1,35,5,Low,Allow
108,0,2,32,0,No,Allow
109,0,2,43,3,Low,Allow
110,1,3,52,5,Critical,Ban
111,0,1,26,3,Low,Warn
112,0,1,53,1,No,Allow
113,0,1,19,0,No,Allow
114,0,2,24,3,Low,Allow
115,0,1,25,4,Medium,Restrict
116,1,1,58,3,Medium,Restrict
117,1,4,16,6,Critical,Ban
118,1,1,30,4,High,Restrict
119,0,1,31,3,Low,Restrict
120,0,1,50,0,No,Allow
121,0,2,34,3,Low,Allow
122,0,2,59,1,No,Allow
123,0,2,47,5,Medium,Restrict
124,0,1,45,1,No,Allow
125,0,2,48,6,Low,Allow
126,0,2,18,2,Low,Allow
127,0,1,32,3,Medium,Restrict
128,0,1,39,1,No,Allow
129,0,2,20,1,No,Allow
130,0,1,16,6,Low,Allow
131,0,1,16,1,No,Allow
132,1,2,50,3,High,Ban
133,0,2,43,6,Medium,Warn
134,0,2,24,4,Low,Allow
135,0,2,47,0,No,Allow
136,0,2,45,2,Low,Warn
137,1,1,51,2,Medium,Warn
138,0,1,56,1,No,Allow
139,1,1,54,1,Medium,Allow
140,0,2,19,3,Low,Allow
141,0,2,49,2,Low,Allow
142,0,2,30,2,Low,Warn
143,1,3,30,2,High,Restrict
144,0,1,43,2,Low,Allow
145,0,1,40,1,No,Allow
146,0,1,31,3,Low,Warn
147,0,1,60,6,Low,Allow
148,0,2,18,3,Low,Allow
149,0,2,14,4,Low,Warn
150,0,1,11,6,Low,Allow
151,1,1,51,4,High,Restrict
152,1,4,30,1,Critical,Ban
153,0,2,32,2,Low,Allow
154,0,2,43,3,Low,Allow
155,0,1,32,3,Low,Allow
156,1,3,39,1,High,Restrict
157,0,2,12,0,No,Allow
158,1,3,17,2,Critical,Restrict
159,1,4,57,6,Critical,Ban
160,1,2,32,5,Critical,Restrict
161,0,1,18,5,Low,Allow
162,1,1,28,1,Medium,Warn
163,0,2,27,2,Low,Warn
164,0,1,23,4,Medium,Warn
165,0,2,24,3,Low,Allow
166,0,2,47,2,Low,Warn
167,1,2,15,2,High,Restrict
168,1,4,25,0,High,Restrict
169,0,2,33,6,Medium,Allow
170,1,4,37,6,Critical,Ban
171,0,1,54,0,No,Allow
172,0,1,57,2,Medium,Warn
173,0,2,25,3,Low,Allow
174,1,1,37,5,Critical,Restrict
175,0,1,11,6,Medium,Restrict
176,0,1,41,2,Low,Allow
177,0,1,17,5,Low,Warn
178,1,3,13,6,Critical,Ban
179,1,4,44,5,Critical,Ban
180,1,4,19,2,Critical,Ban
181,1,2,34,5,Critical,Ban
182,1,4,15,2,Critical,Restrict
183,0,1,48,0,No,Allow
184,0,2,49,5,Medium,Warn
185,1,1,39,5,High,Restrict
186,1,4,52,2,High,Restrict
187,0,1,32,3,Low,Allow
188,0,1,19,2,Low,Allow
189,1,1,17,0,Medium,Restrict
190,0,2,21,6,Low,Warn
191,1,4,20,0,High,Ban
192,0,1,26,3,Low,Warn
193,0,2,20,0,No,Allow
194,1,1,40,4,High,Restrict
195,0,2,17,6,Low,Warn
196,0,1,41,4,Low,Allow
197,0,2,27,4,Medium,Warn
198,1,2,45,5,Critical,Restrict
199,0,2,36,6,Low,Warn
200,0,1,56,6,Medium,Allow
